Year,Observed,ARIMA_Forecast,Continent
1996,-0.1235191043083903,-0.04746340180870584,Europe
1997,0.6306696712018143,-0.04746340180870584,Europe
1998,0.6147240929705218,-0.04746340180870584,Europe
1999,1.0423567460317456,-0.04746340180870584,Europe
2000,1.3728482426303872,-0.04746340180870584,Europe
2001,0.8532853174603181,-0.04746340180870584,Europe
2002,1.2372496031746048,-0.04746340180870584,Europe
2003,1.04137545351474,-0.04746340180870584,Europe
2004,0.791110147392291,-0.04746340180870584,Europe
2005,0.7017615079365092,-0.04746340180870584,Europe
2006,1.1058754535147388,-0.04746340180870584,Europe
2007,1.497224092970522,-0.04746340180870584,Europe
2008,1.305147562358278,-0.04746340180870584,Europe
2009,1.1514825963718822,-0.04746340180870584,Europe
2010,0.4209060657596373,-0.04746340180870584,Europe
2011,1.3289264739229028,-0.04746340180870584,Europe
2012,1.038751303854876,-0.04746340180870584,Europe
2013,1.5693626984126992,-0.04746340180870584,Europe
1981,0.2994542635658916,0.16066023040568306,North America
1982,0.1019678294573616,0.03941203098113276,North America
1983,0.366462015503874,0.06316291860984105,North America
1984,-0.0441155038759681,0.05851043992703343,North America
1985,-0.0558151162790707,0.059421797777416074,North America
1986,0.0746674418604662,0.059243275061229686,North America
1987,0.5363534883720931,0.059278245254531015,North America
1988,0.2826616279069753,0.05927139506512288,North America
1989,-0.0036949612403098,0.059272736924875356,North America
1990,0.2837294573643412,0.05927247407264047,North America
1991,0.2884387596899245,0.05927252556184957,North America
1992,0.2051403100775211,0.059272515475807676,North America
1993,0.2623883720930209,0.059272517451527305,North America
1994,0.4086577519379837,0.05927251706451046,North America
1995,0.5879813953488338,0.05927251714032184,North America
1996,0.2515744186046511,0.059272517125471415,North America
1997,0.6287081395348828,0.059272517128380414,North America
1998,0.9595589147286816,0.05927251712781058,North America
1999,0.388987209302325,0.059272517127922204,North America
2000,0.2493457364341083,0.05927251712790034,North America
2001,0.5202333333333335,0.05927251712790462,North America
2002,0.6606674418604648,0.05927251712790378,North America
2003,0.793324418604648,0.05927251712790395,North America
2004,0.522047286821703,0.05927251712790391,North America
2005,0.8270375968992241,0.05927251712790392,North America
2006,0.7967992248062004,0.05927251712790392,North America
2007,0.7033205426356588,0.05927251712790392,North America
2008,0.3498166666666655,0.05927251712790392,North America
2009,0.6382682170542608,0.05927251712790392,North America
2010,0.8512895348837191,0.05927251712790392,North America
2011,0.5868360465116282,0.05927251712790392,North America
2012,0.7097081395348823,0.05927251712790392,North America
2013,0.7761925930658471,0.05927251712790392,North America
1981,0.1639051587301594,0.2845718253968243,South America
1982,0.3056373015873035,0.2845718253968243,South America
1983,0.4632087301587297,0.2845718253968243,South America
1984,-0.1000234126984125,0.2845718253968243,South America
1985,0.1590242063492049,0.2845718253968243,South America
1986,0.2224527777777787,0.2845718253968243,South America
1987,0.596411111111113,0.2845718253968243,South America
1988,0.1610361111111125,0.2845718253968243,South America
1989,0.1554587301587311,0.2845718253968243,South America
