Year,Observed,ARIMA_Forecast,Continent,Prophet_Forecast
1916,,,Antarctica,-0.9194016751613038
1916,,,Asia,-0.39812167638137735
1916,,,Europe,-0.16399546348721578
1916,,,North America,-0.39066030419039327
1916,,,Oceania,-0.4974256799229302
1916,,,South America,-0.36602130940860594
1917,,,Africa,0.11230855097841494
1917,,,Antarctica,-0.9043415293136988
1917,,,Asia,-0.390817663551408
1917,,,Europe,-0.15891117859992468
1917,,,North America,-0.3830094966915316
1917,,,Oceania,-0.48047436623013273
1917,,,South America,-0.35906946870003337
1918,,,Africa,0.11176987395980198
1918,,,Antarctica,-0.8893225314055686
1918,,,Asia,-0.38353360704064626
1918,,,Europe,-0.1538407852013967
1918,,,North America,-0.37537959303829527
1918,,,Oceania,-0.4635693676020699
1918,,,South America,-0.3521366220917574
1919,,,Africa,0.11123119694048887
1919,,,Antarctica,-0.8743035335038356
1919,,,Asia,-0.3762495505292419
1919,,,Europe,-0.14877039180381982
1919,,,North America,-0.367749689393126
1919,,,Oceania,-0.4466765031493531
1919,,,South America,-0.3452037754833859
1920,,,Africa,0.11069251992117576
1920,,,Antarctica,-0.8592845356021026
1920,,,Asia,-0.36896549401783757
1920,,,Europe,-0.14369999840624287
1920,,,North America,-0.3601197857479568
1920,,,Oceania,-0.4297836386966361
1920,,,South America,-0.33827092887501425
1921,,,Africa,0.11015236707491696
1921,,,Antarctica,-0.8442243897628248
1921,,,Asia,-0.36166148118710006
1921,,,Europe,-0.1386157135209104
1921,,,North America,-0.35246897826614865
1921,,,Oceania,-0.412845204442785
1921,,,South America,-0.3313190881657997
1922,,,Africa,0.10961369005610695
1922,,,Antarctica,-0.8292053918629986
1922,,,Asia,-0.3543774246755721
1922,,,Europe,-0.1335453201243356
1922,,,North America,-0.34483907462991925
1922,,,Oceania,-0.3959530500639443
1922,,,South America,-0.32438624155688345
1923,,,Africa,0.10907501303729696
1923,,,Antarctica,-0.8141863939631722
1923,,,Asia,-0.34709336816404424
1923,,,Europe,-0.12847492672776087
1923,,,North America,-0.33720917099368986
1923,,,Oceania,-0.3790608956851037
1923,,,South America,-0.31745339494796726
1924,,,Africa,0.10853633601729878
1924,,,Antarctica,-0.7991660711428336
1924,,,Asia,-0.33980931164996026
1924,,,Europe,-0.1234045333309583
1924,,,North America,-0.3295792673515609
1924,,,Oceania,-0.3621765621147234
1924,,,South America,-0.310520548338437
1925,,,Africa,0.10799618316984852
1925,,,Antarctica,-0.7841045967531238
1925,,,Asia,-0.3325052988166596
1925,,,Europe,-0.11832024844539733
1925,,,North America,-0.3219284598638371
1925,,,Oceania,-0.34524597009620506
1925,,,South America,-0.30356870762860655
1926,,,Africa,0.10745750614976775
1926,,,Antarctica,-0.7690762273203832
1926,,,Asia,-0.32522124230181704
1926,,,Europe,-0.11324985504797297
1926,,,North America,-0.31429855623528236
1926,,,Oceania,-0.328364827390698
1926,,,South America,-0.2966358610186901
1927,,,Africa,0.10691882912968698
1927,,,Antarctica,-0.7540478578876424
1927,,,Asia,-0.31793718578697455
1927,,,Europe,-0.10817946165054863
1927,,,North America,-0.30666865260672765
1927,,,Oceania,-0.31148368468519105
1927,,,South America,-0.2897030144087737
1928,,,Africa,0.1063801521096062
1928,,,Antarctica,-0.7390194884549016
1928,,,Asia,-0.310653129272132
1928,,,Europe,-0.10310906825312434
1928,,,North America,-0.29903874897817295
1928,,,Oceania,-0.294602541979684
1928,,,South America,-0.2827701677988573
1929,,,Africa,0.1058399992605178
1929,,,Antarctica,-0.7239454120319687
1929,,,Asia,-0.30334911643654017
1929,,,Europe,-0.09802574273052177
1929,,,North America,-0.2913879415104662
1929,,,Oceania,-0.27768127391158093
1929,,,South America,-0.2758183270887556
1930,,,Africa,0.10530132223888591
1930,,,Antarctica,-0.7089125216101912
1930,,,Asia,-0.2960650599201713
1930,,,Europe,-0.09295630607546727
1930,,,North America,-0.2837580378882997
1930,,,Oceania,-0.2608062388163415
1930,,,South America,-0.2688854804789548
1931,,,Africa,0.10476264521604235
1931,,,Antarctica,-0.6938723764858415
1931,,,Asia,-0.288781003403287
1931,,,Europe,-0.08788686942014004
1931,,,North America,-0.27612813436258726
1931,,,Oceania,-0.2439420111456201
